SYMBOL	SERIES	LTP	%CHNG	MKT CAP
(₹ Crores)	VOLUME
(Lakhs)	VALUE
(₹ Crores)
VIJAYA	EQ	971.00	0.58	9,965.98	4.36	42.22
PEL	EQ	1,008.00	0.19	22,728.15	4.23	42.22
CESC	EQ	157.80	2.53	20,917.50	26.91	41.91
J&KBANK	EQ	98.05	3.78	10,797.09	42.72	41.63
WEBELSOLAR	EQ	1,250.65	5.00	5,278.54	3.38	41.56
GMDCLTD	EQ	287.75	3.08	9,150.45	14.60	41.55
ORIENTCEM	EQ	351.50	1.60	7,209.61	11.72	41.07
AAVAS	EQ	2,096.85	0.57	16,596.56	1.93	40.46
ASHOKA	EQ	200.48	3.47	5,627.94	20.40	40.32
YATHARTH	EQ	467.55	7.66	4,505.05	8.72	39.64
AWL	EQ	270.10	0.97	35,104.32	14.61	39.31
JKCEMENT	EQ	4,998.95	0.13	38,626.01	0.79	39.23
TATACOMM	EQ	1,629.00	2.12	46,426.50	2.41	38.98
CUB	EQ	164.50	1.85	12,189.22	23.38	38.11
CAPLIPOINT	EQ	2,051.15	3.73	15,591.14	1.85	38.03
NUVAMA	EQ	6,011.00	4.37	21,624.19	0.64	38.02
ICICIGI	EQ	1,835.00	0.28	90,965.81	2.06	37.59
JSL	EQ	593.70	0.64	48,907.20	6.33	37.53
GRMOVER	EQ	309.85	9.60	1,859.10	12.54	37.12
WELCORP	EQ	859.95	1.25	22,560.74	4.35	36.94
SHILPAMED	EQ	675.00	4.15	6,600.89	5.43	36.86
ABFRL	EQ	263.90	1.01	32,201.95	13.93	36.72
PTC	EQ	172.38	2.44	5,102.59	21.32	36.67
EMBDL	EQ	116.35	0.90	20,845.12	30.39	35.28
SGLTL	EQ	156.30	2.18	3,118.05	22.22	35.01
PCJEWELLER	EQ	14.10	1.88	8,960.95	245.17	34.84
KSCL	EQ	1,334.00	3.59	6,861.97	2.65	34.77
GICRE	EQ	428.00	1.89	75,088.32	8.14	34.73
EIEL	EQ	223.70	0.06	3,926.61	15.46	34.59
JKLAKSHMI	EQ	805.90	1.56	9,483.03	4.31	34.51
KTKBANK	EQ	188.20	4.39	7,112.77	18.32	34.36
SOBHA	EQ	1,239.00	1.01	13,247.05	2.76	34.07
SKFINDIA	EQ	3,842.50	0.59	18,996.54	0.89	33.92
WABAG	EQ	1,450.00	0.98	9,017.61	2.33	33.59
ABBOTINDIA	EQ	29,856.00	1.07	63,441.92	0.11	33.01
SAILIFE	EQ	760.00	1.98	15,838.58	4.32	32.93
ARVIND	EQ	348.00	6.60	9,111.27	9.66	32.93
JISLJALEQS	EQ	58.88	3.46	3,955.70	56.33	32.76
