Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
UNITEDPOLY,EQ,159,2.25,364.93,0.05,0.08
BLBLIMITED,EQ,15.9,3.92,84.06,0.5,0.08
891NTPC33,N6,1254.5,0.25,501.76,0.01,0.08
UNILEX,SM,52.95,0.95,72.1,0.14,0.08
VINSYS,SM,373,0.17,547.49,0.02,0.07
RAJRILTD,BE,21.9,1.96,1217.82,0.34,0.07
RICHA,SM,80,1.59,19.44,0.09,0.07
NAMAN,ST,66,4.93,86.24,0.11,0.07
MAHICKRA,SM,112.95,1.44,91.74,0.07,0.07
TAKE,BZ,8.11,4.92,119.97,0.91,0.07
PPSL,SM,30.2,1,88.49,0.24,0.07
KSHITIJPOL,BE,3.24,0.93,28.84,2.25,0.07
746GS2073,GS,111,1.37,129870,0.07,0.07
UNITEDTEA,EQ,408,0.06,203.86,0.02,0.07
NOIDATOLL,BE,3.17,4.97,59.02,2.25,0.07
SERVICE,SM,58,0.35,77.31,0.12,0.07
MARSHALL,BE,11.8,4.98,28.2,0.62,0.07
BOSS,SM,54.5,13.31,24.23,0.14,0.07
21STCENMGM,EQ,71.78,1.99,75.37,0.1,0.07
SUPREME,EQ,91,0.59,351.69,0.08,0.07
MADHAVBAUG,SM,109,1.54,114.6,0.06,0.07
DOLLEX,SM,34.85,0.14,87.01,0.2,0.07
LIBAS,EQ,12.06,1.43,31.77,0.55,0.07
MAZDA,BE,244,0.51,488.61,0.03,0.07
SAIFL,ST,54.9,4.37,65.38,0.12,0.06
SHYAMCENT,BE,8.17,4.88,173.35,0.78,0.06
PASHUPATI,SM,629.5,0.06,993.6,0.01,0.06
TOKYOPLAST,EQ,123.95,0.04,117.77,0.05,0.06
MALUPAPER,EQ,35.76,1.1,61,0.17,0.06
SEYAIND,BE,15.5,4.17,41.18,0.4,0.06
MAHAPEXLTD,EQ,118.3,3.51,167.4,0.05,0.06
DIGJAMLMTD,BE,41.5,3.57,83,0.14,0.06
ODIGMA,BE,44.66,1.99,139.6,0.13,0.06
ROCKINGDCE,ST,262.2,4.98,148.38,0.02,0.06
VIPULLTD,BE,11.03,1.94,155.48,0.53,0.06
HMT,BZ,49.85,1.2,6002.4,0.11,0.06
MUKTAARTS,EQ,73.99,0.33,167.11,0.08,0.06
LPDC,EQ,7.78,0.26,104.36,0.69,0.05
VLINFRA,ST,50.8,1.8,79.82,0.1,0.05
REFRACTORY,ST,66,1.07,143.88,0.08,0.05
AKSHAR,BE,0.58,3.57,45.67,9.13,0.05
676GS2061,GS,100.25,0.25,142454.81,0.05,0.05
SWELECTES,BE,560,0.79,848.89,0.01,0.05
JHS,BE,13.56,4.95,116.08,0.36,0.05
OSWALSEEDS,EQ,12.84,2.31,117.45,0.39,0.05
